
1	CAU HOI: Đảng cộng sản Việt Nam ra đời ?	1	Tại Cửu Long – Hương Cảng – Trung Quốc.
2	CAU HOI: Nội dung nào sau đây không có trong\n hội nghị thành lập Đảng?	2	Bầu Trần Phú là tổng bí thư
3	CAU HOI: Thắng lợi quân sự nào của quân dân ta\n trong cuộc kháng chiến chống Pháp có ý nghĩa bước ngoặt mở đầu\n giai đoạn quân ta giành quyền chủ động chiến lược trên chiến trường chính?	3	Chiến dịch Biên Giới 1950
4	CAU HOI: Chọn từ phù hợp điền vào chỗ trống: \nNhằm giải quyết khó khăn về..............., chính phủ kêu gọi tinh thần\n tự nguyện đóng góp của nhân dân. Hưởng ứng “quỹ độc lập”,\nphong trào “Tuần lễ vàng” do chính phủ phát động.\n Đến ngày 23-11-1946, Quốc hội quyết định cho lưu hành tiền Việt Nam trong cả nước.	4	Tài chính
5	CAU HOI: Sự linh hoạt trong chính sách ngoại giao\n của Đảng giai đoạn 1945-1946 được thể hiện ở	5	Hiệp định Sơ bộ (6/3) và Tạm ước (14/9)
6	CAU HOI: Sách lược của Đảng từ ngày 6/3/1946\n có điểm gì khác so với giai đoạn trước đó?	6	Hoà với Pháp để đuổi Tưởng ra khỏi Miền Bắc.
7	CAU HOI: Sự kiện nào sau đây là  quan trọng nhất\n trong việc củng cố và kiện toàn chính quyền cách mạng	7	6-1-1946,bầu quốc hội trong cả nước.
8	CAU HOI: Yếu tố nào sau đây không nằm trong tác dụng\n của Hiệp định Sơ Bộ (6/3/1946)	8	Dùng tay quân Tưởng để đẩy thực dân Pháp
9	CAU HOI: Thời gian thực dân Pháp tiến hành khai thác thuộc địa lần thứ nhất\n ở Việt Nam khi nào?	9	1897-1914.
10	CAU HOI: Việt Nam Quốc dân Đảng được thành lập vào thời gian nào?	10	12/1927.
11	CAU HOI: Tổ chức cộng sản nào ra đời đầu tiên ở Việt Nam?	11	Đông Dương cộng sản Đảng
12	CAU HOI: Chi bộ cộng sản đầu tiên gồm mấy đảng viên?\n Ai làm bí thư chi bộ?	12	7 đảng viên - Bí thư Trần Văn Cung.
13	CAU HOI: Đông Dương Cộng sản Đảng và An nam Cộng sản Đảng\n được ra đời từ tổ chức tiền thân nào?	13	Hội Việt Nam cách mạng Thanh niên
14	CAU HOI: Tổ chức An Nam Cộng sản Đảng được thành lập vào thời gian nào?	14	8/1929
15	CAU HOI: Trong cuộc khai thác thuộc địa lần thứ hai ở Đông Dương\n thực dân Pháp đầu tư vốn nhiều nhất vào ngành \n kinh tế nào?	15	Nông nghiệp.

